"","name","sizeF","type","subtype","alignmentF","hit_points","hit_dice","strength","dexterity","constitution","intelligence","wisdom","charisma","legal","moral"
"444","Cadaver Sprite","Tiny","undead","","neutral evil",20,"8d4",5,18,10,14,13,8,"neutral","evil"
"445","Caldera Kite","Large","monstrosity","","unaligned",119,"14d10+42",18,19,16,3,12,4,"unaligned","unaligned"
"446","Caltrop Golem","Medium","construct","","unaligned",75,"10d8+30",9,18,16,8,12,3,"unaligned","unaligned"
"447","Camazotz","Large","fiend","","chaotic evil",537,"43d10 + 301",30,22,25,12,22,25,"chaotic","evil"
"448","Cambion","Medium","fiend","","",93,"11d8+44",18,18,18,16,14,18,"unaligned","unaligned"
"449","Cambium","Large","fiend","","neutral evil",264,"23d10+138",21,16,23,17,16,18,"neutral","evil"
"450","Cambium","Large","fiend","","neutral evil",264,"23d10 + 138",21,16,23,17,16,18,"neutral","evil"
"451","Camel","Large","beast","","unaligned",15,"2d10+4",16,8,14,2,8,5,"unaligned","unaligned"
"452","Camel","Medium","beast","","",15,"2d10+4",16,10,14,2,8,4,"unaligned","unaligned"
"453","Capybear","Medium","monstrosity","","neutral",60,"8d8+24",15,14,17,9,12,10,"neutral","neutral"
"454","Carbuncle","Small","monstrosity","","chaotic good",36,"8d6+8",8,14,12,11,16,12,"chaotic","good"
"455","Caretaker Weevil","Medium","beast","","unaligned",51,"6d8+24",10,12,18,3,14,4,"unaligned","unaligned"
"456","Carnivorous Ship","Gargantuan","monstrosity","shapechanger","neutral",186,"12d20+60",23,6,20,7,10,14,"neutral","neutral"
"457","Carnivorous Sod","Medium","plant","","unaligned",33,"6d8+6",14,6,12,2,10,3,"unaligned","unaligned"
"458","Carrier Mosquito","Large","beast","","unaligned",75,"10d10+20",16,13,15,2,8,4,"unaligned","unaligned"
"459","Carrion Beetle","Large","beast","","neutral",127,"15d10+45",19,12,17,1,13,10,"neutral","neutral"
"460","Carrion Beetle","Large","beast","","unaligned",127,"15d10 + 45",19,12,17,1,13,10,"unaligned","unaligned"
"461","Cat","Tiny","beast","","unaligned",2,"1d4",3,15,10,3,12,7,"unaligned","unaligned"
"462","Cat","Tiny","beast","","",2,"1d4",2,14,10,3,12,6,"unaligned","unaligned"
"463","Catamount","Large","monstrosity","","unaligned",117,"18d10+18",18,14,12,3,10,4,"unaligned","unaligned"
"464","Catonoctrix","Large","aberration","","neutral evil",168,"16d10+80",21,12,21,18,15,19,"neutral","evil"
"465","Cats of Ulthar","Huge","beast","","unaligned",55,"10d10",9,18,10,2,14,3,"unaligned","unaligned"
"466","Catscratch","Huge","aberration","","chaotic evil",76,"8d12+24",18,14,17,3,12,8,"chaotic","evil"
"467","Catterball","Small","fey","","chaotic neutral",44,"8d6+16",8,17,14,5,12,15,"chaotic","neutral"
"468","Cauldronborn","Small","construct","","unaligned",13,"3d6+3",14,7,12,3,6,1,"unaligned","unaligned"
"469","Caustic Charger","Huge","monstrosity","","unaligned",133,"14d12 + 42",19,11,16,4,10,6,"unaligned","unaligned"
"470","Cave Bear","Large","beast","","",42,"5d10+15",20,10,16,2,12,4,"unaligned","unaligned"
"471","Cave Dragon Wyrmling","Medium","dragon","","neutral evil",75,"10d8+30",19,12,17,8,10,12,"neutral","evil"
"472","Cave Drake","Large","dragon","","neutral",95,"10d10+40",17,14,18,6,13,11,"neutral","neutral"
"473","Cave Giant","Huge","giant","","chaotic evil",200,"16d12+96",27,10,22,8,13,6,"chaotic","evil"
"474","Cave Giant Shaman","Huge","giant","","chaotic evil",207,"18d12+90",27,10,20,10,15,21,"chaotic","evil"
"475","Cave Goat","Small","beast","","unaligned",22,"4d6+8",14,13,15,2,10,6,"unaligned","unaligned"
"476","Cave Mimic","Gargantuan","monstrosity","","neutral",174,"12d20+48",20,8,18,5,13,10,"neutral","neutral"
"477","Cave Ogre","Large","giant","","",119,"14d10+42",19,8,16,10,10,8,"unaligned","unaligned"
"478","Cave Sovereign","Huge","aberration","","chaotic evil",253,"22d12+110",25,8,20,16,12,20,"chaotic","evil"
"479","Cave Troll","Large","giant","","",84,"8d10+40",18,12,20,8,12,8,"unaligned","unaligned"
"480","Cave Dragon Wyrmling","Medium","dragon","","neutral evil",52,"7d8 + 21",19,12,17,8,10,12,"neutral","evil"
"481","Cavefish Zombie","Medium","undead","","neutral evil",37,"5d8+15",15,10,16,3,6,3,"neutral","evil"
"482","Cavelight Moss","Large","plant","","neutral",95,"10d10+40",24,10,18,1,13,5,"neutral","neutral"
"483","Cavelight Moss","Large","plant","","unaligned",95,"10d10 + 40",20,10,18,1,13,5,"unaligned","unaligned"
"484","Centaur","Large","monstrosity","","neutral good",45,"6d10+12",18,14,14,9,13,11,"neutral","good"
"485","Centaur","Large","fey","","",45,"6d10+12",16,16,14,10,16,10,"unaligned","unaligned"
"486","Centaur Chieftain","Large","monstrosity","","chaotic neutral",110,"17d8+34",19,12,14,9,14,14,"chaotic","neutral"
"487","Chain Devil","Medium","fiend","devil","lawful evil",85,"10d8+40",18,15,18,11,12,14,"lawful","evil"
"488","Chain Devil","Medium","fiend","","",127,"15d8+60",18,14,18,10,12,16,"unaligned","unaligned"
"489","Chained Angel","Medium","celestial","","neutral evil",121,"22d8 + 22",18,16,12,12,18,20,"neutral","evil"
"490","Chameleon Hydra","Huge","monstrosity","","unaligned",184,"16d12+80",20,16,20,4,10,7,"unaligned","unaligned"
"491","Champion Warrior","Medium","humanoid","","",90,"12d8+36",18,18,16,10,12,14,"unaligned","unaligned"
"492","Chamrosh","Medium","celestial","","neutral good",39,"6d8+12",14,13,15,8,15,16,"neutral","good"
"493","Chaos Creeper","Medium","plant","","chaotic neutral",150,"20d8+60",13,18,16,10,12,17,"chaotic","neutral"
"494","Chaos Raptor","Gargantuan","monstrosity","","chaotic neutral",248,"16d20+80",28,10,20,5,10,10,"chaotic","neutral"
"495","Chaos-Spawn Goblin","Small","humanoid","goblinoid","neutral evil",22,"5d6+5",10,14,12,10,10,6,"neutral","evil"
"496","Chatterlome","Medium","fiend","","lawful evil",93,"11d8+44",15,18,18,11,14,10,"lawful","evil"
"497","Chelicerae","Large","aberration","","neutral evil",153,"18d10+54",22,17,17,14,15,14,"neutral","evil"
"498","Chelicerae","Large","aberration","","neutral evil",153,"18d10 + 54",22,17,17,18,15,14,"neutral","evil"
"499","Chemosit","Medium","fiend","","neutral evil",119,"14d8+56",16,17,18,13,14,15,"neutral","evil"
"500","Chernomoi","Tiny","fey","","neutral",32,"5d4+20",9,18,18,12,11,16,"neutral","neutral"
"501","Chernomoi","Tiny","fey","","neutral",32,"5d4 + 20",9,18,18,12,11,16,"neutral","neutral"
"502","Cherufe","Huge","elemental","","chaotic evil",161,"14d12+70",22,10,21,8,14,6,"chaotic","evil"
"503","Chieftain","Small","humanoid","","lawful evil",110,"20d6 + 40",18,14,14,11,13,14,"lawful","evil"
"504","Child Of The Briar","Tiny","plant","","neutral evil",50,"20d4",6,17,11,13,10,14,"neutral","evil"
"505","Child of Yggdrasil","Large","aberration","","neutral evil",112,"15d10+30",16,10,14,10,18,8,"neutral","evil"
"506","Child of the Briar","Tiny","plant","","neutral evil",50,"20d4",6,17,11,13,10,14,"neutral","evil"
"507","Chill Haunt","Medium","undead","","neutral evil",39,"6d8+12",7,16,14,8,16,13,"neutral","evil"
"508","Chimera","Large","monstrosity","","chaotic evil",114,"12d10+48",19,11,19,3,14,10,"chaotic","evil"
"509","Chimera","Large","monstrosity","","",114,"12d10+48",18,10,18,3,16,10,"unaligned","unaligned"
"510","Chimera, Royal","Huge","monstrosity","","neutral evil",189,"18d12+72",21,14,18,9,13,20,"neutral","evil"
"511","Chimeric Phantom","Medium","undead","","chaotic neutral",36,"8d8",12,13,10,13,14,5,"chaotic","neutral"
"512","Chort Devil","Medium","fiend","devil","lawful evil",187,"15d8+120",24,20,26,18,20,20,"lawful","evil"
"513","Chort Devil","Medium","fiend","","lawful evil",187,"15d8 + 120",24,20,26,18,20,20,"lawful","evil"
"514","Chroma Lizard","Large","beast","","unaligned",90,"12d10+24",12,16,14,2,10,3,"unaligned","unaligned"
"515","Chronalmental","Large","elemental","","unaligned",152,"16d10+64",1,20,19,9,13,6,"unaligned","unaligned"
"516","Chronalmental","Large","elemental","","neutral",142,"15d10 + 60",14,20,19,9,13,6,"neutral","neutral"
"517","Chronomatic Enhancer","Large","construct","","unaligned",152,"16d10+64",21,11,19,9,15,5,"unaligned","unaligned"
"518","Chuhaister","Large","giant","","chaotic evil",157,"15d10+75",22,9,20,10,11,12,"chaotic","evil"
"519","Chupacabra","Small","monstrosity","","unaligned",36,"8d6+8",16,15,12,3,12,6,"unaligned","unaligned"
"520","Chuul","Large","aberration","","chaotic evil",93,"11d10+33",19,10,16,5,11,5,"chaotic","evil"
"521","Chuul","Large","aberration","","",93,"11d10+33",18,10,16,5,16,10,"unaligned","unaligned"
"522","Cikavak","Tiny","fey","","neutral",17,"7d4",4,15,10,12,12,4,"neutral","neutral"
"523","Cikavak","Tiny","fey","","neutral",17,"7d4",4,15,10,12,12,4,"neutral","neutral"
"524","Cipactli","Medium","fiend","demon","chaotic evil",78,"12d8+24",16,14,14,10,10,10,"chaotic","evil"
"525","Citrullus","Medium","plant","","unaligned",85,"10d10 + 30",18,8,16,3,10,1,"unaligned","unaligned"
"526","City Watch Captain","Medium","humanoid","any race","lawful neutral",91,"14d8+28",13,16,14,10,11,13,"lawful","neutral"
"527","Clacking Skeleton","Medium","undead","","neutral evil",45,"10d8",14,12,11,6,8,5,"neutral","evil"
"528","Clay Golem","Large","construct","","unaligned",133,"14d10+56",20,9,18,3,8,1,"unaligned","unaligned"
"529","Clay Guardian","Large","construct","","",133,"14d10+56",20,10,18,3,10,1,"unaligned","unaligned"
"530","Climbing Vine","Medium","plant","","unaligned",13,"2d8+4",13,7,15,1,7,1,"unaligned","unaligned"
"531","Cloaker","Large","aberration","","chaotic neutral",78,"12d10+12",17,15,12,13,12,14,"chaotic","neutral"
"532","Cloaker","Large","aberration","","",97,"13d10+26",18,16,14,12,12,12,"unaligned","unaligned"
"533","Clockwork Abomination","Large","construct","devil","lawful evil",76,"8d10+32",21,12,18,10,10,12,"lawful","evil"
"534","Clockwork Archon","Gargantuan","construct","","unaligned",201,"13d20+65",24,9,20,7,10,10,"unaligned","unaligned"
"535","Clockwork Armadillo","Small","construct","","unaligned",22,"4d6+8",10,18,14,5,10,10,"unaligned","unaligned"
"536","Clockwork Assassin","Medium","construct","","unaligned",99,"18d8+18",14,17,12,12,12,7,"unaligned","unaligned"
"537","Clockwork Beetle","Tiny","construct","","unaligned",15,"6d4",8,16,10,4,12,7,"unaligned","unaligned"
"538","Clockwork Beetle Swarm","Large","construct","Swarm","neutral",52,"8d10+8",8,16,12,4,12,7,"neutral","neutral"
"539","Clockwork Conductor","Small","construct","","lawful neutral",28,"8d6",7,12,10,9,12,16,"lawful","neutral"
"540","Clockwork Hound","Medium","construct","","unaligned",71,"11d8+22",16,15,14,1,10,1,"unaligned","unaligned"
"541","Clockwork Huntsman","Medium","construct","","unaligned",110,"20d8+20",17,14,12,4,10,1,"unaligned","unaligned"
"542","Clockwork Leech","Medium","construct","","neutral",45,"6d8+18",14,12,17,3,10,7,"neutral","neutral"
"543","Clockwork Mantis","Large","construct","","unaligned",68,"8d10+24",13,19,16,3,15,1,"unaligned","unaligned"
"544","Clockwork Myrmidon","Large","construct","","unaligned",153,"18d10+54",20,14,16,10,10,1,"unaligned","unaligned"
"545","Clockwork Pugilist","Medium","construct","","unaligned",32,"5d8+10",16,12,14,6,13,10,"unaligned","unaligned"
"546","Clockwork Scorpion","Large","construct","","unaligned",95,"10d10+40",19,13,19,3,12,1,"unaligned","unaligned"
"547","Clockwork Sentinel","Medium","construct","","",60,"8d8+24",16,12,16,1,6,1,"unaligned","unaligned"
"548","Clockwork Servant","Medium","construct","","unaligned",22,"4d8+4",14,12,13,8,12,7,"unaligned","unaligned"
"549","Clockwork Soldier","Medium","construct","","unaligned",45,"6d8+18",13,13,16,5,10,1,"unaligned","unaligned"
"550","Clockwork Tactician","Medium","construct","","lawful neutral",150,"20d8+60",20,14,17,20,15,11,"lawful","neutral"
"551","Clockwork Tiger","Large","construct","","unaligned",112,"15d10+30",18,16,15,7,10,6,"unaligned","unaligned"
"552","Clockwork Watchman","Medium","construct","","unaligned",55,"10d8+10",14,12,12,5,10,1,"unaligned","unaligned"
"553","Clockwork Abomination","Large","construct","","lawful evil",76,"8d10 + 32",21,12,18,10,10,12,"lawful","evil"
"554","Clockwork Beetle","Tiny","construct","","unaligned",20,"8d4",8,16,10,4,12,7,"unaligned","unaligned"
"555","Clockwork Beetle Swarm","Large","swarm","","unaligned",52,"8d10 + 8",8,16,12,1,12,7,"unaligned","unaligned"
"556","Clockwork Hound","Medium","construct","","unaligned",71,"11d8 + 22",16,15,14,1,10,1,"unaligned","unaligned"
"557","Clockwork Huntsman","Medium","construct","","unaligned",99,"18d8 + 18",17,14,12,4,10,1,"unaligned","unaligned"
"558","Clockwork Myrmidon","Large","construct","","unaligned",136,"16d10 + 48",20,14,16,6,10,1,"unaligned","unaligned"
"559","Clockwork Watchman","Medium","construct","","unaligned",44,"8d8 + 8",14,12,12,5,10,1,"unaligned","unaligned"
"560","Clockwork Weaving Spider","Tiny","construct","","unaligned",30,"12d4",10,16,10,9,8,8,"unaligned","unaligned"
"561","Cloud Giant","Huge","giant","","",187,"15d12+90",27,10,22,12,16,16,"unaligned","unaligned"
"562","Cloud Giant Noble","Huge","giant","","",187,"15d12+90",27,10,22,12,16,16,"unaligned","unaligned"
"563","Cloudhoof Assassin","Medium","beast","","unaligned",45,"7d8+14",17,17,14,2,11,7,"unaligned","unaligned"
"564","Clurichaun","Tiny","fey","","chaotic neutral",22,"4d4+12",13,12,16,10,8,16,"chaotic","neutral"
"565","Clurichaun","Tiny","fey","","chaotic neutral",22,"4d4 + 12",13,12,16,10,8,16,"chaotic","neutral"
"566","Coastline Reaper","Large","monstrosity","","unaligned",144,"17d10+51",10,18,17,4,14,8,"unaligned","unaligned"
"567","Cobbleswarm","Medium","monstrosity","Swarm","unaligned",36,"8d8",12,11,11,5,12,5,"unaligned","unaligned"
"568","Cobbleswarm","Medium","swarm","","unaligned",36,"8d8",12,11,11,5,12,5,"unaligned","unaligned"
"569","Cockatrice","Small","monstrosity","","unaligned",27,"6d6+6",6,12,12,2,13,5,"unaligned","unaligned"
"570","Cockatrice","Small","monstrosity","","",27,"6d6+6",6,14,12,2,12,5,"unaligned","unaligned"
"571","Colláis","Large","monstrosity","","neutral",150,"20d10+40",19,15,14,10,17,13,"neutral","neutral"
"572","Commoner","Medium","humanoid","any race","any alignment",4,"1d8",10,10,10,10,10,10,"unaligned","unaligned"
"573","Commoner","Medium","humanoid","","",4,"1d8",10,10,10,10,10,10,"unaligned","unaligned"
"574","Commoner Mob","Huge","humanoid","","",45,"10d8",10,10,10,10,10,10,"unaligned","unaligned"
"575","Compsognathus","Tiny","beast","","unaligned",10,"3d4+3",6,14,12,4,10,5,"unaligned","unaligned"
"576","Conjoined Queen","Large","monstrosity","","chaotic neutral",168,"16d10+80",18,16,21,13,14,18,"chaotic","neutral"
"577","Conniption Bug","Small","beast","","unaligned",55,"10d6+20",13,14,14,1,10,3,"unaligned","unaligned"
"578","Constrictor Snake","Large","beast","","unaligned",13,"2d10+2",15,14,12,1,10,3,"unaligned","unaligned"
"579","Constrictor Snake","Large","beast","","",13,"2d10+2",14,12,12,2,10,3,"unaligned","unaligned"
"580","Copper Dragon Wyrmling","Medium","dragon","","chaotic good",22,"4d8+4",15,12,13,14,11,13,"chaotic","good"
"581","Copper Dragon Wyrmling","Medium","dragon","","",44,"8d8+8",15,12,13,14,11,13,"unaligned","unaligned"
"582","Copperkill Slime","Huge","ooze","","unaligned",142,"15d12+45",18,10,17,4,8,2,"unaligned","unaligned"
"583","Coral Drake","Medium","dragon","","neutral evil",127,"15d8+60",19,1,18,10,13,10,"neutral","evil"
"584","Coral Drake","Medium","dragon","","neutral evil",127,"15d8 + 60",19,17,18,10,13,10,"neutral","evil"
"585","Coralfish","Small","monstrosity","","",27,"6d6+6",6,14,12,2,12,5,"unaligned","unaligned"
"586","Corpse Mound","Huge","undead","","neutral evil",207,"18d12+90",24,11,21,8,10,8,"neutral","evil"
"587","Corpse Thief","Medium","humanoid","","neutral",30,"4d8+12",12,17,16,11,13,6,"neutral","neutral"
"588","Corpse Worm","Large","monstrosity","","unaligned",76,"8d10+32",16,12,19,1,12,5,"unaligned","unaligned"
"589","Corpselight Moth","Large","beast","","unaligned",136,"16d10+48",16,19,16,2,12,8,"unaligned","unaligned"
"590","Corpse Mound","Huge","undead","","neutral evil",207,"18d12 + 90",24,11,21,6,10,8,"neutral","evil"
"591","Corrupted Pixie","Tiny","fiend","","chaotic evil",5,"2d4",2,20,10,12,14,15,"chaotic","evil"
"592","Corrupted Unicorn","Large","celestial","","",85,"9d10+36",20,18,18,16,20,20,"unaligned","unaligned"
"593","Corrupted Chieftain","Large","giant","","chaotic evil",133,"14d10 + 56",23,8,18,5,7,12,"chaotic","evil"
"594","Corrupted Ushabti","Medium","undead","","neutral evil",97,"15d8 + 30",17,14,15,6,10,5,"neutral","evil"
"595","Corrupting Ooze","Large","ooze","","neutral evil",115,"10d10+60",16,10,22,4,2,1,"neutral","evil"
"596","Corrupting Ooze","Large","ooze","","neutral evil",115,"10d10 + 60",16,10,22,4,2,1,"neutral","evil"
"597","Cosmic Symphony","Large","celestial","","unaligned",200,"16d10+112",19,26,25,2,21,18,"unaligned","unaligned"
"598","Cosmopolitan Alchemist","Medium","humanoid","","",91,"14d8+28",11,16,14,19,14,13,"unaligned","unaligned"
"599","Couatl","Medium","celestial","","lawful good",97,"13d8+39",16,20,17,18,20,18,"lawful","good"
"600","Couatl","Medium","celestial","","",85,"10d8+40",18,18,18,18,20,18,"unaligned","unaligned"
"601","Coven Green Hag","Medium","fey","","",97,"15d8+30",16,14,14,14,14,16,"unaligned","unaligned"
"602","Coven Night Hag","Medium","fey","","",120,"16d8+48",18,14,16,16,14,16,"unaligned","unaligned"
"603","Coven Sea Hag","Medium","fey","","",75,"10d8+30",16,12,16,12,12,16,"unaligned","unaligned"
"604","Coven Winter Hag","Medium","fey","","",135,"18d8+54",18,16,16,16,16,18,"unaligned","unaligned"
"605","Crab","Tiny","beast","","unaligned",2,"1d4",2,11,10,1,8,2,"unaligned","unaligned"
"606","Crab","Tiny","beast","","",2,"1d4",2,10,10,1,8,4,"unaligned","unaligned"
"607","Crab, Duffel","Large","monstrosity","","unaligned",60,"8d8+24",16,12,16,2,12,7,"unaligned","unaligned"
"608","Crab, Razorback","Medium","beast","","unaligned",58,"9d8+18",16,10,14,2,10,3,"unaligned","unaligned"
"609","Crab, Samurai","Medium","beast","","lawful neutral",105,"14d8+42",18,10,16,6,14,10,"lawful","neutral"
"610","Crime Boss","Medium","humanoid","","",127,"15d8+60",18,14,18,16,16,16,"unaligned","unaligned"
"611","Crimson Drake","Tiny","dragon","","chaotic evil",54,"12d4+24",10,14,14,8,9,14,"chaotic","evil"
"612","Crimson Mist","Medium","undead","","chaotic evil",68,"8d8+32",17,15,18,3,20,18,"chaotic","evil"
"613","Crimson Shambler","Medium","plant","","unaligned",32,"5d8+10",12,10,14,1,11,5,"unaligned","unaligned"
"614","Crimson Drake","Tiny","dragon","","chaotic evil",45,"10d4 + 20",10,14,14,8,9,14,"chaotic","evil"
"615","Crinaea","Medium","fey","","neutral",44,"8d8+8",11,16,12,14,12,17,"neutral","neutral"
"616","Crocodile","Large","beast","","unaligned",19,"3d10+3",15,10,13,2,10,5,"unaligned","unaligned"
"617","Crocodile","Large","beast","","",19,"3d10+3",14,10,12,2,10,4,"unaligned","unaligned"
"618","Crocotta","Medium","monstrosity","","neutral evil",39,"6d8+12",16,15,14,8,12,8,"neutral","evil"
"619","Crusher","Large","construct","","",115,"11d10+55",20,8,20,1,6,1,"unaligned","unaligned"
"620","Cryoceros","Large","monstrosity","","unaligned",133,"14d10+56",19,11,18,3,13,8,"unaligned","unaligned"
"621","Crypt Spider","Medium","beast","","lawful evil",38,"7d8+7",14,16,12,10,11,8,"lawful","evil"
"622","Crystalline Devil","Medium","fiend","devil","lawful evil",102,"12d8+48",18,12,18,14,13,15,"lawful","evil"
"623","Crystalline Monolith","Huge","aberration","","lawful neutral",123,"13d12+39",14,10,16,19,17,17,"lawful","neutral"
"624","Crystalline Devil","Medium","fiend","","lawful evil",102,"12d8 + 48",18,12,18,14,13,15,"lawful","evil"
"625","Crystallite","Large","giant","","lawful neutral",90,"12d10+24",18,8,14,17,11,9,"lawful","neutral"
"626","Cueyatl","Small","humanoid","","lawful evil",21,"6d6",10,12,11,10,11,10,"lawful","evil"
"627","Cueyatl Moon Priest","Small","humanoid","","lawful evil",81,"18d6+18",10,12,12,10,16,12,"lawful","evil"
"628","Cueyatl Sea Priest","Small","humanoid","","lawful evil",45,"10d6+10",10,12,12,10,14,10,"lawful","evil"
"629","Cueyatl Warchief","Small","humanoid","","lawful evil",117,"18d6+54",18,14,16,10,16,12,"lawful","evil"
"630","Cueyatl Warrior","Small","humanoid","","lawful evil",36,"8d6+8",12,14,12,10,11,10,"lawful","evil"
"631","Culicoid","Large","fiend","demon","chaotic evil",190,"20d10+80",20,15,18,11,14,9,"chaotic","evil"
"632","Cult Fanatic","Medium","humanoid","","",39,"6d8+12",10,14,14,10,14,14,"unaligned","unaligned"
"633","Cultist","Medium","humanoid","","",9,"2d8",10,14,10,10,10,10,"unaligned","unaligned"
"634","Cutthroat","Medium","humanoid","","",27,"6d8",10,14,10,12,14,14,"unaligned","unaligned"
"635","Cyclops","Huge","giant","","",126,"11d12+55",20,10,20,8,10,10,"unaligned","unaligned"
"636","Cyclops Myrmidon","Huge","giant","","",126,"11d12+55",20,10,20,8,10,10,"unaligned","unaligned"
"637","Cyonaxin","Medium","celestial","","chaotic good",117,"18d8+36",15,22,14,10,15,19,"chaotic","good"
"638","Daeodon","Large","beast","","unaligned",76,"9d10+27",21,8,16,2,12,6,"unaligned","unaligned"
"639","Dancing Foliage","Medium","plant","","chaotic good",66,"12d8+12",9,17,12,10,13,14,"chaotic","good"
"640","Darakhul Captain","Medium","undead","","lawful evil",165,"22d8+66",18,16,17,14,14,18,"lawful","evil"
"641","Darakhul High Priestess","Medium","undead","","neutral evil",112,"15d8+45",16,14,16,12,18,15,"neutral","evil"
"642","Darakhul Shadowmancer","Medium","undead","","neutral evil",52,"8d8+16",12,16,14,18,13,9,"neutral","evil"
"643","Darakhul Spy","Medium","undead","","neutral evil",91,"14d8+28",16,18,14,14,12,14,"neutral","evil"
"644","Darakhul","Medium","undead","","neutral evil",78,"12d8 + 24",16,17,14,14,12,12,"neutral","evil"
"645","Dark Eye","Medium","humanoid","dark folk","neutral evil",71,"11d8+22",10,14,15,9,13,16,"neutral","evil"
"646","Dark Father","Large","undead","","lawful neutral",65,"10d8+18",6,14,15,8,14,8,"lawful","neutral"
"647","Dark Servant","Medium","humanoid","dark folk","neutral evil",55,"10d8+10",16,12,13,10,10,10,"neutral","evil"
"648","Dark Voice","Medium","humanoid","dark folk","neutral evil",91,"14d8+28",14,10,15,11,16,18,"neutral","evil"
"649","Darkmantle","Small","monstrosity","","unaligned",22,"5d6+5",16,12,13,2,10,5,"unaligned","unaligned"
"650","Darkmantle","Small","monstrosity","","",22,"5d6+5",16,12,12,2,10,5,"unaligned","unaligned"
"651","Dau","Small","fey","","chaotic neutral",49,"9d6+18",7,17,14,14,17,16,"chaotic","neutral"
"652","Dau","Small","fey","","chaotic neutral",49,"9d6 + 18",7,17,14,14,17,16,"chaotic","neutral"
"653","Dawnfly","Gargantuan","beast","","unaligned",261,"18d20+72",23,20,19,1,14,18,"unaligned","unaligned"
"654","Dawnfly, Desolation Nymph","Large","beast","","unaligned",68,"8d10+24",16,15,16,1,12,4,"unaligned","unaligned"
"655","De Ogen","Medium","undead","","neutral evil",45,"6d8+18",1,20,16,11,13,10,"neutral","evil"
"656","Dead Mans Fingers","Medium","plant","","",190,"20d8+100",20,10,20,1,12,1,"unaligned","unaligned"
"657","Death Barque","Gargantuan","undead","","neutral evil",198,"12d20+72",20,18,23,8,14,12,"neutral","evil"
"658","Death Butterfly Swarm","Large","beast","Swarm","chaotic evil",60,"11d10",1,13,10,1,12,15,"chaotic","evil"
"659","Death Dog","Medium","monstrosity","","neutral evil",39,"6d8+12",15,14,14,3,13,6,"neutral","evil"
"660","Death Dog","Medium","monstrosity","","",32,"5d8+10",14,14,14,2,12,6,"unaligned","unaligned"
"661","Death Shroud Golem","Large","construct","","unaligned",95,"10d10+40",17,15,18,3,10,1,"unaligned","unaligned"
"662","Death Vulture","Large","monstrosity","","neutral evil",76,"8d10+32",18,10,18,6,12,7,"neutral","evil"
"663","Death Worm","Small","monstrosity","","unaligned",44,"8d6+16",9,15,14,1,11,3,"unaligned","unaligned"
"664","Death Butterfly Swarm","Large","swarm","","unaligned",60,"11d10",1,14,10,1,12,12,"unaligned","unaligned"
"665","Deathcap Myconid","Medium","plant","","neutral evil",90,"12d8+36",12,10,16,10,11,9,"neutral","evil"
"666","Deathcap Myconid","Medium","plant","","neutral evil",90,"12d8 + 36",14,10,16,10,11,9,"neutral","evil"
"667","Deathspeaker","Medium","undead","","lawful evil",97,"13d8+39",12,16,17,18,12,15,"lawful","evil"
"668","Deathsworn Elf","Medium","humanoid","elf","chaotic neutral",82,"15d8+15",14,19,12,11,13,14,"chaotic","neutral"
"669","Deathweaver","Huge","monstrosity","","neutral evil",95,"10d12+30",16,14,17,7,12,15,"neutral","evil"
"670","Deathwisp","Medium","undead","","neutral evil",82,"11d8+33",6,20,16,18,16,20,"neutral","evil"
"671","Deathwisp","Medium","undead","","neutral evil",82,"11d8 + 33",6,20,16,18,16,20,"neutral","evil"
"672","Deep Drake","Large","dragon","","chaotic evil",150,"20d10+40",21,19,14,11,14,12,"chaotic","evil"
"673","Deep Dwarf Soldier","Medium","humanoid","","",19,"3d8+6",14,12,14,10,10,10,"unaligned","unaligned"
"674","Deep Gnome Scout","Medium","humanoid","","",19,"3d8+6",10,16,14,10,14,10,"unaligned","unaligned"
"675","Deep Gnome (Svirfneblin)","Small","humanoid","gnome","neutral good",16,"3d6+6",15,14,14,12,10,9,"neutral","good"
"676","Deep One","Medium","humanoid","","chaotic evil",91,"14d8+28",16,12,14,10,8,12,"chaotic","evil"
"677","Deep One Archimandrite","Large","humanoid","","chaotic evil",153,"18d10+54",20,15,17,12,17,19,"chaotic","evil"
"678","Deep One Hybrid Priest","Medium","humanoid","","chaotic evil",120,"16d8+48",18,14,16,12,12,15,"chaotic","evil"
"679","Deep Troll","Large","giant","","chaotic evil",63,"6d10+30",18,13,20,7,9,7,"chaotic","evil"
"680","Deep Drake","Large","dragon","","chaotic evil",150,"20d10 + 40",21,19,14,11,14,12,"chaotic","evil"
"681","Deep One","Medium","humanoid","","chaotic evil",71,"11d8 + 22",16,12,14,10,8,12,"chaotic","evil"
"682","Deep One Archimandrite","Large","humanoid","","chaotic evil",153,"18d10 + 54",20,16,17,12,17,19,"chaotic","evil"
"683","Deep One Priest","Medium","humanoid","","chaotic evil",105,"14d8 + 42",18,14,16,12,12,16,"chaotic","evil"
"684","Deer","Medium","beast","","unaligned",4,"1d8",11,16,11,2,14,5,"unaligned","unaligned"
"685","Deer","Medium","beast","","",4,"1d8",10,16,10,2,14,4,"unaligned","unaligned"
"686","Degenerate Titan","Huge","giant","","chaotic evil",161,"14d12+70",24,6,20,6,9,7,"chaotic","evil"
"687","Degenerate Titan","Huge","giant","","chaotic evil",161,"14d12 + 70",21,6,20,6,12,7,"chaotic","evil"
"688","Demilich","Tiny","undead","","",159,"29d4+87",10,24,16,24,22,20,"unaligned","unaligned"
